time,open,high,low,close,volume,adjusted_close,tic
2017-08-17 05:30:00,4261.48,4485.39,4200.74,4285.08,795.150377,4285.08,BTCUSDT
2017-08-18 05:30:00,4285.08,4371.52,3938.77,4108.37,1199.888264,4108.37,BTCUSDT
2017-08-19 05:30:00,4108.37,4184.69,3850.0,4139.98,381.309763,4139.98,BTCUSDT
2017-08-20 05:30:00,4120.98,4211.08,4032.62,4086.29,467.083022,4086.29,BTCUSDT
2017-08-21 05:30:00,4069.13,4119.62,3911.79,4016.0,691.74306,4016.0,BTCUSDT
2017-08-22 05:30:00,4016.0,4104.82,3400.0,4040.0,966.684858,4040.0,BTCUSDT
2017-08-23 05:30:00,4040.0,4265.8,4013.89,4114.01,1001.136565,4114.01,BTCUSDT
2017-08-24 05:30:00,4147.0,4371.68,4085.01,4316.01,787.418753,4316.01,BTCUSDT
2017-08-25 05:30:00,4316.01,4453.91,4247.48,4280.68,573.61274,4280.68,BTCUSDT
2017-08-26 05:30:00,4280.71,4367.0,4212.41,4337.44,228.108068,4337.44,BTCUSDT
2017-08-27 05:30:00,4332.51,4400.0,4285.54,4310.01,350.692585,4310.01,BTCUSDT
2017-08-28 05:30:00,4310.01,4399.82,4124.54,4386.69,603.841616,4386.69,BTCUSDT
2017-08-29 05:30:00,4353.65,4625.85,4313.55,4587.48,603.545028,4587.48,BTCUSDT
2017-08-30 05:30:00,4564.52,4647.51,4416.01,4555.14,808.468771,4555.14,BTCUSDT
2017-08-31 05:30:00,4555.14,4745.42,4555.14,4724.89,556.956802,4724.89,BTCUSDT
2017-09-01 05:30:00,4689.89,4885.55,4654.88,4834.91,560.666366,4834.91,BTCUSDT
2017-09-02 05:30:00,4796.16,4939.19,4286.87,4472.14,929.148595,4472.14,BTCUSDT
2017-09-03 05:30:00,4508.5,4714.76,4298.33,4509.08,691.216198,4509.08,BTCUSDT
2017-09-04 05:30:00,4505.0,4527.49,3972.51,4100.11,1394.644614,4100.11,BTCUSDT
2017-09-05 05:30:00,4106.97,4484.99,3603.0,4366.47,1228.938157,4366.47,BTCUSDT
2017-09-06 05:30:00,4366.49,4662.87,4335.26,4619.77,807.363726,4619.77,BTCUSDT
2017-09-07 05:30:00,4619.77,4788.59,4438.19,4691.61,500.429975,4691.61,BTCUSDT
2017-09-08 05:30:00,4691.66,4735.39,4028.93,4282.8,1132.255046,4282.8,BTCUSDT
2017-09-09 05:30:00,4282.8,4426.62,4150.06,4258.81,658.782952,4258.81,BTCUSDT
2017-09-10 05:30:00,4258.81,4283.0,3801.0,4130.37,660.373275,4130.37,BTCUSDT
2017-09-11 05:30:00,4153.62,4334.43,4098.91,4208.47,699.989065,4208.47,BTCUSDT
2017-09-12 05:30:00,4208.6,4394.59,4040.8,4163.72,879.630319,4163.72,BTCUSDT
2017-09-13 05:30:00,4159.72,4165.38,3760.0,3944.69,913.462545,3944.69,BTCUSDT
2017-09-14 05:30:00,3944.0,3993.0,3165.13,3189.02,1665.021543,3189.02,BTCUSDT
2017-09-15 05:30:00,3188.01,3856.0,2817.0,3700.0,1968.866492,3700.0,BTCUSDT
2017-09-16 05:30:00,3674.01,3950.0,3470.66,3714.95,1297.563953,3714.95,BTCUSDT
2017-09-17 05:30:00,3685.23,3748.21,3499.02,3699.99,682.17121,3699.99,BTCUSDT
2017-09-18 05:30:00,3690.0,4123.2,3690.0,4035.01,1030.006455,4035.01,BTCUSDT
2017-09-19 05:30:00,4060.0,4089.97,3830.91,3910.04,902.332129,3910.04,BTCUSDT
2017-09-20 05:30:00,3910.04,4046.08,3820.0,3900.0,720.935076,3900.0,BTCUSDT
2017-09-21 05:30:00,3889.99,3910.0,3567.0,3609.99,1001.654084,3609.99,BTCUSDT
2017-09-22 05:30:00,3592.84,3750.0,3505.55,3595.87,838.966425,3595.87,BTCUSDT
2017-09-23 05:30:00,3595.88,3817.19,3542.91,3780.0,752.792791,3780.0,BTCUSDT
2017-09-24 05:30:00,3779.54,3789.99,3622.76,3660.02,661.63639,3660.02,BTCUSDT
2017-09-25 05:30:00,3660.02,3979.87,3653.69,3920.75,727.994713,3920.75,BTCUSDT
2017-09-26 05:30:00,3928.0,3976.99,3850.05,3882.35,526.727987,3882.35,BTCUSDT
2017-09-27 05:30:00,3882.36,4249.94,3872.81,4193.0,628.170966,4193.0,BTCUSDT
2017-09-28 05:30:00,4192.11,4300.0,4101.0,4174.5,849.785325,4174.5,BTCUSDT
2017-09-29 05:30:00,4178.98,4263.86,3952.01,4174.69,1602.309565,4174.69,BTCUSDT
2017-09-30 05:30:00,4175.0,4380.0,4138.1,4378.51,720.353183,4378.51,BTCUSDT
2017-10-01 05:30:00,4378.49,4406.52,4240.04,4378.48,726.963685,4378.48,BTCUSDT
2017-10-02 05:30:00,4400.0,4561.63,4360.0,4380.0,655.756974,4380.0,BTCUSDT
2017-10-03 05:30:00,4380.0,4467.33,4180.8,4310.0,1082.323563,4310.0,BTCUSDT
2017-10-04 05:30:00,4314.9,4373.0,4142.0,4208.59,868.465101,4208.59,BTCUSDT
2017-10-05 05:30:00,4208.59,4355.0,4110.0,4292.43,779.138638,4292.43,BTCUSDT
