Index,Signal,trade_val_BTC,trade_value_USD,Cash,BTC,total_assets,Commission_fees
4139.98,1.0,0.7255816459655762,3006.89739616723,996993.1026038327,0.7255816459655762,1000000.0,3.00689739616723
4086.29,-1.0,0.7255816459655762,2961.9720870685815,999955.0746909013,0.0,999996.9961064972,2.9619720870685815
4016.0,0.0,0.0,0.0,999955.0746909013,0.0,999955.0746909013,0.0
4016.0,0.0,0.0,0.0,999955.0746909013,0.0,999955.0746909013,0.0
4040.0,1.0,5.676077842712402,22954.285839042663,977000.7888518587,5.676077842712402,999955.0746909013,22.95428583904266
4114.01,-1.0,4.5566606521606445,18727.401342105815,995728.1901939645,1.1194171905517578,999932.1433364168,18.727401342105814
4316.01,-1.0,1.1194171905517578,4826.584372804699,1000554.7745667693,0.0,1000333.4837100663,4.8265843728046995
4280.68,0.0,0.0,0.0,1000554.7745667693,0.0,1000554.7745667693,0.0
4337.44,1.0,8.615873336791992,37408.204479580985,963146.5700871883,8.615873336791992,1000554.7745667693,37.40820447958099
4310.01,1.0,3.717024326324463,16036.432428718399,947110.1376584698,12.332897186279297,1000517.4037331233,16.0364324287184
4386.69,-1.0,6.996301651000977,30659.915882940044,977770.0535414099,5.33659553527832,1000265.0478603055,30.659915882940044
4587.48,1.0,8.195439338684082,37634.01047148387,940136.0430699261,13.532034873962402,1001180.0438100599,37.63401047148387
4555.14,-1.0,7.894405364990234,35924.16153262734,976060.2046025534,5.637629508972168,1002213.9824135312,35.92416153262734
4724.89,1.0,1.1346065998077393,5366.252268742955,970693.9523338104,6.772235870361328,1001740.3962840529,5.366252268742954
4834.91,1.0,3.8087832927703857,18433.53955447851,952260.4127793319,10.581019401550293,1002692.021875322,18.43353955447851
4472.14,-1.0,7.147176742553711,31931.211822446712,984191.6246017786,3.433842658996582,1003418.6892940814,31.931211822446713
4509.08,1.0,4.522642135620117,20413.34815608284,963778.2764456958,7.956484794616699,999548.2497107836,20.41334815608284
4100.11,-1.0,7.956484794616699,32589.840408384618,996368.1168540803,0.0,999654.702903406,32.58984040838462
4366.47,0.0,0.0,0.0,996368.1168540803,0.0,996368.1168540803,0.0
4619.77,1.0,5.146785736083984,23800.743306328695,972567.3735477517,5.146785736083984,996368.1168540803,23.800743306328695
4691.61,-1.0,5.146785736083984,24122.564715841712,996689.9382635934,0.0,996344.3398877404,24.122564715841712
4282.8,1.0,4.479917526245117,19205.777372183988,977484.1608914094,4.479917526245117,996689.9382635934,19.205777372183988
4258.81,-1.0,4.479917526245117,19060.03844238802,996544.1993337974,0.0,996670.7516728119,19.06003844238802
4130.37,0.0,0.0,0.0,996544.1993337974,0.0,996544.1993337974,0.0
4208.47,0.0,0.0,0.0,996544.1993337974,0.0,996544.1993337974,0.0
4163.72,0.0,0.0,0.0,996544.1993337974,0.0,996544.1993337974,0.0
3944.69,0.0,0.0,0.0,996544.1993337974,0.0,996544.1993337974,0.0
3189.02,1.0,5.731933116912842,18297.528597845885,978246.6707359515,5.731933116912842,996544.1993337974,18.297528597845886
3700.0,-1.0,5.731933116912842,21186.944380044937,999433.6151159965,0.0,996525.9200844489,21.186944380044938
3714.95,1.0,5.209357738494873,19371.856034152148,980061.7590818444,5.209357738494873,999433.6151159965,19.37185603415215
3699.99,-1.0,3.6217212677001953,13386.932140804767,993448.6912226491,1.5876364707946777,999414.2626124659,13.386932140804767
4035.01,1.0,9.022970199584961,36444.18276001234,957004.5084626367,10.610607147216797,999322.9302882247,36.444182760012346
3910.04,1.0,1.9327890872955322,7564.839925531911,949439.6685371049,12.54339599609375,999818.414407728,7.564839925531911
3900.0,-1.0,6.649159908294678,25905.791918706895,975345.4604558117,5.894236087799072,998484.8486176713,25.905791918706896
3609.99,1.0,6.820197105407715,24645.464191899344,950699.9962639124,12.714433670043945,998332.9811982281,24.645464191899343
3595.87,1.0,9.973044395446777,35897.63292140546,914802.3633425069,22.687477111816406,996598.9746684344,35.89763292140546
3780.0,1.0,2.438511848449707,9226.792361927031,905575.5709805799,25.125988006591797,996383.5816645742,9.226792361927032
3660.02,-1.0,8.733209609985352,31931.758114901848,937507.3290954818,16.392778396606445,1000551.8056454969,31.93175811490185
3920.75,1.0,4.570202827453613,17936.54135847449,919570.7877370073,20.962982177734375,997505.2258826293,17.93654135847449
3882.35,-1.0,1.8195533752441406,7057.07890333271,926627.86664034,19.143428802490234,1001761.4001103593,7.057078903332711
4193.0,1.0,4.50394868850708,18903.941907761095,907723.9247325789,23.647377014160156,1000949.3574516879,18.903941907761094
4174.5,1.0,0.8678781986236572,3626.580497694611,904097.3442348843,24.515254974365234,1006877.3765529525,3.626580497694611
4174.69,-1.0,2.9420006275177,12269.658659092174,916367.0028939764,21.573253631591797,1006436.2761253719,12.269658659092174
4378.51,1.0,1.400465965270996,6138.086187832308,910228.9167061441,22.97372055053711,1006428.6490972464,6.138086187832307
4378.48,0.0,0.0,0.0,910228.9167061441,22.97372055053711,1010819.5818738764,0.0
4378.48,0.0,0.0,0.0,910228.9167061441,22.97372055053711,1010819.5818738764,0.0
4380.0,-1.0,6.066699981689453,26545.573773880005,936774.4904800241,16.907020568847656,1010818.8926622599,26.545573773880005
4310.0,1.0,7.671136856079102,33095.662449550626,903678.8280304736,24.578157424926758,1010827.2405715769,33.09566244955062
4208.59,-1.0,6.151087760925293,25861.519033312827,929540.3470637864,18.42707061767578,1009610.6865319079,25.861519033312828
4292.43,1.0,9.385313987731934,40326.08912368055,889214.2579401059,27.81238555908203,1007092.3321946305,40.326089123680546
